DAGBANI	ENGLISH
Alaafeelana bi lan bɔri tim.	A healthy person does not look for medicine.
O dirila alafiɛ.	She is eating a pineapple.
O daa wuhi niriba maa alama nim pam.	He showed the people a lot of signs.
alɛhi biɛɣu m-bala.	that is a bad omen.
alɛhi suŋ m-bala.	that is a good omen.
O nyɛla anifubɛrilana.	He is a person with evil intensions.
O nyɛla alɛhibiɛrilana.	She is a person with evil intesions.
O galibu nyɛ la alɛhitama.	Her survival is doubtful to me.
Chama n ti zaŋ aleeji maa n ti ma na.	Go and bring the palm-kernel oil to me.
Zuŋo dabisili ŋo maa ti yɛn duɣila aleefu.	On this day we are going to cook spinach.
Alɛple niŋ pɔncha, zuɣusaanima yɛla m-bala!	An airplane gets a puncture, it is the concern of those in the air.
O niŋ ma aleewa.	He tricked me.
N nyɛla Alfa minii Omega. Di gbinni nyɛla, n nyɛ piligu ni bahigu.	I am the Alpha and the Omega. This means, I am the beginning and the end.
O mali anfaani pam.	He is very useful.
Anfaani paa ka a niŋ ma maa.	You have done a very useful thing for me.
Chɛrimi alibasa maa n ti ma na.	Chop the onions and bring them to me.
Alibarikanima n nyɛ ba.	They are blessed people.
Naawuni niŋ mi ti alibarika.	May God bless us.
Ti Duuma yɛlila noli niŋ ninvuɣu biɛri yinsi, amaa o niŋdi alibarika niŋdi wuntizɔriba biɛhigu shee.	The Lord has cursed the homes of the wicked, but he bestows blessings on the dwelling places of God-fearing-people.
N zaŋla alibarika minii noli dibu zali ya zuŋɔ dabisili ŋɔ.	I am setting before you blessings and a curse on this day.
Alibarika tutuɣu ni leei tia.	The blessed shrub will become a tree.
Naawuni daa niŋ alibarika niŋ Nuhu ni.	God bestowed blessings upon Noah.
M bia, Naawuni niŋmi alibarika niŋ a ni! My child, May God bestow blessings upon you.
Alibarika n-nyɛ daa nyaɣisim.	Bargaining is the happiness of the market.
vu m-miri Naawuni ŋun nyɛ alibarikalana ŋɔ nam ʒiishee.	move closer to God who is blessed's throne.
Ti teei ti ni daa yi ŋubiri zahim shɛli yoli Ijipti la minii kukombanima ni watamilo ni gabo ni alibarisa ni tafarinom la yɛla.	We remember the fish we used to eat for free in Egypt and cucumbers and watermelon and leeks and onions and garlic.
Bɛ ni yɛn she binyɛra shɛŋa maa n-nyɛ:	The stuff they are going to sew are:
Nyolɔrigu minii binyɛribila din yɛri pari zuɣusaa ni alichɛbba ni bɛ ni wuɣi zabba shɛli ni bantabiga ni shɛlɔrigu.	a breastpiece an ephod a robe a woven tunic a turban and a sash.
hali ti gili alichɛbba maa tiŋli zaa.	even to go all around the bottom edge of the robe.
Takahi bi naara naɣila chiyama.	Despair does not end until judgement day.
Din kam niŋ chiyama kum n-tahi li.	Whatever happens on judgement day is caused by death.
Zaŋ mi anfooni maa yili dukpini maa.	Hang the photo on the wall.
Di viɛla pam.	It is very nice.
ka o nyɛ ma ka bi puhi ma.	and he saw me and didn't greet me.
O mali aliguso.	He is a fraud.
O niŋ ma aliguso.	She has defrauded me.
Aliguufulana baa gbaarila gumachuɣu.	A dishonest person's dog catches a chameleon.
O niŋdi aligufu.	She is a fraudster.
O nyɛla alahaʒi.	He is an alhaji.
so ti ku lan wum mɔɣilo ŋmɛriba minii bana ni alijeeta piɛbiriba ni kika' piɛbiriba damli a ni.	no one will again hear the sound of harp players, or horn, oboe and trumpet players in it.
Lɔŋgbɔɣulana yi palo ka alijeeta piɛbira wum zɔra.	A person with a goitre surfaces and the trumpet blower hears and runs away.
Bɛ zaŋla kurugu alikalimi sabi Judanima daalahichi, ka zaŋ daamɔn chiriga n-chirigi li.	They used a metalic pen to write the sins of Judah's people, and used a diamond graver to engrave it.
N zaŋ alikalimi minii tadabo n-sabi li.	I used a pen and ink to write it.
Afa bi bɔhira alikalimi kɔŋko yɛla.	The muslim scholar does not only ask of the pen.
ŋariŋga vari maa gba nti pahi di ti pɔɣiri duɣiri tadabo. Tadabo nyɛ la afanim ni mali alikalimi n-suɣiri binshɛli sabiri la.	Vitex leaves also, are added to the bark to make ink. This ink is what muslim scholars use to dip a pen in and write.
m-pahi alikama minii yalim.	and also wheat and salt.
Arauna daa bela o kabɔɣili maa ni buri alikama.	Aaron was at his threshing-floor threshing wheat.
Rubin daa ti chaŋ mɔɣu ni alikama chɛbu saha ti bo ŋmaankpihiga na ti ti o ma Liya.	Reuben went out into the fields during wheat-harvesting time to look for mandrake plants which he brough to his mother Leah.
Yisa leegi alikauli din so nyaanzaana.	Jesus has become the guarantor of a better covenant.
O daa bi biɛhim Naawuni daalikauli hali biɛla.	She didn't doubt God's promise even a little.
Ti Duuma daa lola alikauli din ka lɔrigibu.	The Lord made a promise that could not be broken.
Bɛ lan neei bɛ daalikauli.	They have renewed their vow.
N ku saɣim n ni lo o alikauli shɛli.	I will not break the vow I have made.
N daa yɛliya ni n ku lɔrigi alikauli shɛli n ni lɔn ya maa.	I told you that I will not break the promise I had made you.
Naawunni dolim' alikaafi.	God bless your offsprings.
N nyala alimɔnd tiwulli.	I saw the branch of an almond tree.
So m-bi lan nya alimug dari maa tatabo hal ni zuŋɔ.	Nobody has such an almug wood up to today.
Naa Sulemaana daa zaŋ aligum dari maa mali Ti Duuma jɛmbu duu minii o yiŋa dunɔdura.	King Solomon used the almug wood to build God's worship room and his house doors.
Chɛ ka bɛ ŋma Lɛbanɔn sida minii sipirɛs ni ɛligum dakuɣiri ti ma na.	Let them chop down Lebanon cedar, pine, and algum woods and bring them to me.
Niŋmi aliwalla m-puhi jiŋli.	Purify yourself and perform the prayer.
Anabi Issa daaliwumma.	Prophet Jesus' people.
bɛ daa bi wum bɛ daalizama maa.	They didn't hear their conversation.
Amaa di dabiɛm maa lee balimi di yi niŋ ka di bara ŋɔ mali ninvuɣu so ŋun zaɣa be o ni ka o minii o tooi diri alizama.	But the fear of it is eased if the patient has somebody who cares about him and who speaks with him regularly.
ti ni maani maligu tiri paɣa ŋun nyɛ naa alizanda ni la, ka boori kom bahiri o.	when we sacrificing to the queen of heaven and pouring libation to her.
ti minii o laɣim ʒini o nam ʒiishee alizanda ni.	we sat together with him on his throne in heaven.
bɛ yɛri ni alizini m-bala.	
Tabisimiya ma n-nya, dama alizini ka niŋgbuŋ minii kɔba.	Touch me and see, because a spirit does not have a skin nor bones.
Bɛ daa zaŋ bɛ bidibisi minii bɛ bipuɣinsi n-kɔri ba ti alizinnima.	They took their sons and thier daughters and slaughtered them for ther demons.
Naawuni ni chɛ ka alizin’ biɛ’ so kana ti muɣisiri a.	God will let an evil spirit come and trouble you.
o kariti alizin’ biɛri bahiri.	he is driving away evil spirits.
N alizini boori o.	I absolutely love him.
N alizini je o.	I absolutely abhor her.
O d'alizin'biɛɣu n-yiɣsi.	She is in a bad mood.
N chaŋmi tu o d'alizin'suŋ.	I met him in good disposition.
Ti Duuma daa chɛ ka alizini biɛɣu ʒini Saul zuɣu.	The Lord let an evil spirit posses Saul.
alizini biɛri maa daa balim Yisa pam ni o di kari ba kpɛhi bahiyoli shee.	the evil spirits implored Jesus a lot not to banish them to perdition.
yi mali liɣiri n-surila aziifu shɛŋa din mali voya ni la.	you put money in pockets that have holes.
yi mali li n-surila aziifu shɛŋa din mali voya ni la.	you put it in pockets that have holes.
ŋunkam ʒiɛm o daalɔbu kpɛrila ganyina ni.	Whoever looks down upon his chance puts himself into trouble.
ŋunkam ʒiɛm o daalɔbu kpɛrila yɛlli ni.	whoever looks down upon his chance puts herself into trouble.
alɔbo din be zibisim ni.	the plague in the dark.
alɔbo din daa lu Ijiptinim’ zuɣu la tatabo lu yi zuɣu.	the plague that befell the people of Egypt has fallen on you.
Di simsi ka yi niŋ alɔbo shɛŋa minii jɛŋgbari shɛba ban bahi yi tiŋgbani ŋɔ yoli maa kɔtomsi.	You must make examples out of the diseases and and mice that have ravaged your land.
alɔbo n-lu n zuɣu dabisili ŋɔ.	Calamity has fallen on me this day.
Alɔbɔnima n-doli taba.	Calamities coming one after the other.
A daalɔbo na be nyaaŋa.	Your clamity is yet to come.
tulaale zin’ shɛŋa bɛ ni booni mɛɛr minii aloosi ni kaasia.	perfumed poweder which they call myrrh and aloes and cassia.
zaŋ mɛɛr maa minii aloo tia sum maa n-niŋ o.	take myrrh and aloe tree sap and anoint her.
niriba daa ʒiri barinima bɛ bindɔhi zuɣu minii bɛ daamaŋkanima ni.	people were carrying sick people on their beds and on their stretchers.
Zabi mi a maŋmaŋa zuɣu.	Fight for yourself.
Dihi mi a maŋmaŋa.	Feed yourself.
A yi di wahala mɔŋ Dagbana taali m-bala amaa a yi di bindirigu m-mɔŋ o din pa taali.	If you are suffering and do not include a Dagomba, he will blame you for it; but if you are eating and leave him out, he will not blame you.
Dagban' tinsi maa daa pun beni, amaa Tindaanim n-daa lee su ŋa.	The towns of Dagbon were already there, but the Earthpriests controlled them.
Ma o daa kana.	But he came.
Lala saha kuli ʒɛmi n-ti bia kam, amaa ka lee pa saha wɔɣinli.	That stage is set for every child, but it isn't a long time.
bɛ yi zaɣisi ma ka niŋ bɛ buɣa yɛda, amaa ka ka anabi maa sani na.	if they refuse me and put faith in their shrines, but but yet come to the prophet.
Ti Duuma daa yɛli Musa, “kamna ka n ti tim a Firawuna sani.” Amaa ka Musa yɛli Naawuni "bɛ bi bɔri ni bɛ doli yɛlimaŋli soli, amaa ka dolila tuumbiɛtali soli."	The Lord told moses, "come and let me send you to Pharoah." But Moses said to God "they do no want to follow the true path, but they follow the path of evil."
ka zaŋ jeesint minii agɛt ni amɛtisit m-pe taba kuli shɛli din pahiri ata.	and take a jacinth, an agate and an amethyst and arrange them in the third row.
Paɣimiya Ti Duuma sahakam. Ami, ami. Ka sokam garigi yɛli, ‘Ami!’	Praise The Lord all the time. Amen, amen. And every one responded, 'Amen!'
a golidi a daamiliya paɣa konko.	You only have intercourse with your wife.
Di viɛli ni nira wumdi niriba saɣisigu a yi yɛn pii a daamiliya doo bee paɣa?	It is good for a person to listen to people's advice if you are to choose your husband or wife.
amiliya ango minii o daamiliya.	a wedding's groom and his bride.
ŋun su amiliya n-nyɛ ango; amaa ango zo so ŋun be o sani wumdi o yɛltɔɣa nyari suhupiɛlli.	the one who owns the wedding is the groom; but the groom's friend who is with him and listens to him is full of joy.
Ban tu ni bɛ beni ka lahabali ŋɔ ti n-nyɛ amiliya yidana mini o paɣa.	Those who must be present for this information to be delivered are the husband and his wife.
amiliya yilinima maa wain daa ti pooi ba.	the wedding household's wine was not enough.
bɛ yɛn malila suhusaɣiŋgu ni yolitim bɛ amiliya bebu puuni.	they will have distress and regret during the course of their marriage.
gbana din tiri ba yiko ni bɛ lo amiliya.	documents that give them permision to get married.
Doo yi na yoli niŋ amiliya.	when a man recently gets married.
doo sabirila amiliya lɔrigibu gbaŋ.	a man writes a divorce letter.
ŋun timi o amiliya lɔrigibu gbaŋ ka yihi o.	he should give her a divorce letter and remove her.
Amiliya yi niŋ naai, di tu ni amiliyanima ti ŋun su musulinsi paɣa kpuɣibo ni yihibu sabbu fukumsi bɛ daamiliya maa lahabali ka bakɔi naan yi yaɣi.	when the wedding is over, the married-couple must report to the Registrar of Muslim Marriage and Divorce before two weeks elapses.
Amii Ti Duuma be ti sani bee o kani?	I wonder if The Lord with us or he is absent?
Amii n sa ni labna bee n ku labna?	Who knows whether I will return tomorrow or I will not return?
Amii a sa ni labna biɛɣu bee a ku labna?	I wonder if you will come back tomorrow or you will not come back?
yi bi mi yili yidana ni ti yɛn kuna saha shɛli, amii zaawuni bee yuntisua.	you don't know when the husband of the house will come home, whether in the evening or at midninght.
O yi niŋ amii bɛ ni gbaagi o.	whatever he does, they will catch him.
Dokulʒiɛm mali waayo ku ŋmani amiila.	Very beautiful dawadawa flowers will not resemble a red scarf.
M mini'o mali amiinsi.	I and her have a secret arrangement.
O mali amiinsi ni nirba.	He is charitable to people.
M pala anabi, m mi pala anabi bia.	I am not a prophet, I am also not a prophet's child.
Yinima ban kuri anabinima.	Those of you who kill prophets.
a ni tuhi anab’ bɔbili soli.	you will meet a lot of prophets.
Chimsi chuɣu pilla anabi Ibrahim saha.	Chimsi festival started at the time of the prophet Ibrahim.
anabi Nuhu saha la ka kom daa yɛn di duniya.	during the prophet Noah's time, when water was going to flood the world.
Di saha ka anabi bɔhi o ni ya ka kom be.	That was when the prophet asked him where water was.
Anabi chilitɔŋ, ban ka laamba m-banda.	The prophet's eye powder, it is those who don't have parents who apply it.
tɔɣisimi anabitali yɛltɔɣa jɛndi Izraɛl piɛguliba.	prophesy about the shepherds of Israel.
Dauda Jɛsi bia daanabitali yɛltɔɣa m-bɔŋɔ.	this David son of Jesi's prophetic word.
mɔɣ' shɛli din pahi anahi mi yuli booni Yufretiiz.	the fourth river is called Euphrates.
Bɛ niriba anahi ŋɔ daa nyɛla bɛn yi Gaat.	the four of them came from Gaat.
Daantalisi anahi bi duhiri nam.	Four pillars don't raise chieftaincy.
bɛ daa yi zaŋ anchitinima bee situra din shihi ŋuni Paul nti pa barinim’ zuɣu bɛ nyarila alaafee.	they used to take handkerchiefs and cloths that touched him Paul and put them on the sick and they got cured.
ninvuɣu shɛba ban kpalim ŋɔ di binyara ŋɔ zaa daanfaani.	those who have remained have enjoyed all the benefits of this calamity.
Taaŋa ŋɔ mali anfaani pam n-ti Dagbamba, Dagbam' paɣaba nyari buni pam di ni.	This shea tree has a lot of benefits for Dagombas, Dagomba women get wealth from it.
Tiŋgbani shɛli din mali anfaani minii tam.	A land that has benefits and nutrients.
Naawuni daanfaani maa zuɣu ka yi tiligi.	It is because of God's grace that you were saved.
Naawuni ni niŋ anfaani niŋ a bihi ni.	God will bless you children.
ŋun daanfoni minii sabbu n-lee be di ni ŋɔ?	Whose photo and writing are in it?
Di daa nyɛla Babilɔnnima anfooni ka bɛ mali pa dukpina zuɣu.	It was the Babylonian's photo and the hang it on walls.
Anfooni din do zuɣusaa ŋɔ wuhiri la bihi banim minii bɛ bihi kalinli.	The photo lying above shows the number of fathers and their children.
ninmoo tua shɛli yi ni nyari anfooni ŋɔ ni maa na sa tiŋ yuli booni Adiboo.	the important baobab tree you are seeing in this photo still stands in a town called Adiboo.
bɛ ni zaŋ dahima shɛli n laɣisi lahabaya ka ŋmahi anfooni.	they will take time to collect data and snap photos.
Ti bi tam ka lam puhiri Abdulai Mohammed Gong ŋun sɔŋ yaai anfooni shɛŋa dim be kalɛnda ŋɔ ni maa.	we won't forget to greet Abdulai Mohammed Gong who helped to take the photos that are in the calendar.
o daa ŋmɛ gbuɣima minii naɣilahi ni chɛrubimnima anfooninima pa dapaɣ’ shɛŋa o ni daa zaŋ kpɛhikpɛhi firimnima la ni zuɣu.	he put illustrations of lions and bulls and cherubs on the crossbars which he had fitted into frames.
Zaŋmi anfooni-kahigirili din do gbunni ŋɔ n sabi a yiŋa nima anfooni kaligirili.	use the chart below to write a chart of your household.
Anfooni kahigira (chaatinima).	Explanatory photos (charts).
Man’ daa tɛhiya ni a lan je o mi, ka zaŋ o ti a daango zo la. I thought you no longer loved her, and gave her to your best man.
ango zonima. ŋun su amiliya n-nyɛ ango;	the groom's friends. it is the groom who owns the wedding.
Ango zonima ni tooi lo noli ango ni be bɛ sani saha shɛli?	can the groom's friends can fast at the time the groom is with them?
do’ so ŋun daa nyɛ Samson ango zo.	the man who was Samson's best man.
di ʒɛmi ni bɛ niŋ lala asiba kuriga anii minii zaŋ chaŋ zaawuni kuriga ayɔbu sunsuuni.	they are supposed to do that at eight in the morning and at 7 in the evening.
Jɛhɔyachin o nam dibu yuma anii saha kuli Babilɔn.	Jehoiachin during the eighth year of his reign went to Babylon.
chɛ ka bɛ daansarisi maa ŋmaligi lu bɛ zuɣu.	let their mockery turn around and fall on them.
Bɛ nyɛla ban kuli maani ma ninʒeensi ansarisi ka bi chɛra.	They are people who keep disrespectfully mocking me and don't stop.
Karimbaannima maani mala ansarisi.	They proud are mocking me.
Bɔzira ni leei dabiɛmzɔbo minii ansarisi malibu tiŋa.	Bozrah will become a town of horror and mockery.
Yihimiya ansarisimaana yi kɔbili ni, ka zabili naai, ka naŋgbankpeeni minii turi chɛ.	drive out the mockers, and the fight will end, and arguemnts and insults will stop.
Saha yuusim wula ka ansarisimaaniba kul yɛn be ansarisi malibu ni?	How long will mockers keep indulging in mockery.
di niŋ dabisili din pahi anu.	it has become the fifth day.
Ka Filistia nanima anu maa ni daa nya lala maa.	And when five Philistinian kings saw that.
Bɛ ni niriba anu daa nyɛla yɛm nima.	Five among them were wise people.
Ghana bela tuuli tiŋgbana anu shɛŋa  World Health Organisation (WHO) la nini ni tiɣi.	Ghana is among the first five nations the World Health Organization trusts.
Naawuni ŋun tiri ti anzansi ka kpaŋsiri ti suhuri ŋɔ.	Good who gives us endurance and strengthens our hearts.
Nyama, n zaŋ anzinfa laɣibaligu tuhili ti a.	See, I have given a hundred silver coins to you.
Yi salima minii yi daanzinfa zahimya ka di zahimbu maa din ya shɛhira biɛɣu.
Anzinfa daŋ duu ku kari salima (tahili).	Silver that enterd the room first will not drive out gold (brass).
di simsi ni niriba suhiri Naawuni saha kam ka di niŋdi anyinsi.	it is befitting for people to pray to God all the time and should not give up.
Ninvuɣu so ŋun doli anyinsi soli biri shɛli ni ti kpuɣila mbusim.	Those follow paths of injustice to sow something will harvest disaster.
pumpɔrinchihi tihi minii kpikpal tihi ni apil tihi ni tihi balibu kam zaa kuui ya.	pomegranate trees and palm trees and apple trees and all types of trees have all dried up.
Shigaari nyura yi chaŋ Asibiti ni o nyɛla ŋun diri liɣiri pam zaŋ chaŋ tima dabu polo ni apolasa niŋbu zuɣu.	If a smoker goes to the hospital, he spends a lot of money towards buying drugs and operations.
chaliya yɛltɔɣa yoya minii yɛltɔɣa chɔɣima tɔɣisibu ni asahi kpɛma niŋbu.	stop making useless talk and worthless talk and rude jokes.
A yi bi zo m-barigi a bi niŋdi asahi.	If you do not escape you do not joke.
o ni daa boli ninvuɣu shɛba maa zaŋ li niŋ asahi.	the people he called took it as a joke.
Dauda minii o bia Absalom zaa daa yi bi zaŋdi o yɛligu niŋdi asahi.	David and his child Absalom both never took his word for a joke.
Di daa mali asama.	Its market price is cheap.
Yi tɛhiya ni di nyɛla asama ni n leei naa deemba?	Do you think it is easy for me to become the chief's in-law?
Wahu bali mali asama n-gari buŋa bali.	Horse riding is easier than donkey riding.
Dimbɔŋɔ nyɛla din ni sɔŋ ka bihili mɔɣisibu niŋ asama n-ti bia minii o ma zaa.	This is something that will help make breastfeeding easy for both the child and its mother.
Di gbibu be asama, ka di lahi yuura.	digging it is easy, and it also takes long.
biɛhigu ti ku niŋ asama tin ya.	life will not become easy for you.
Yɛla ayi ŋɔ sunsuuni, dini lee be asama ni nira yɛli?	among these two issues which one is easier for a one to say?
Di simsi ni a lan pii asanza niriba ban mali alaafee ka zɔri Naawuni.	it is advisable that you again choose respectable people who are healthy and fear God.
Nashɔn ŋun daa nyɛ Juda bidibisi ni asanza nira la.	Nahshon who was a prominent man of the men of Juda.
N je kunduŋ yɛla hali biɛla gba.	I do not like the hyena even a little.
Bɛ dim’ maa zaŋla ziŋgoo gbahi bɛ zaa, ka zaŋ o laŋa n-vo ba na ti niŋ o daasau ni.	Their enemy used a fish hook to catch all of them, and used his cast-net to pull them into his keep-net.
Wuhimi ti a yurilim maŋli la asiba.	show us true love in the morning.
maligumaana niŋdi dari pahiri buɣim maa ni asiba kam.	the priests add wood to the fire every morning.
Asiba guŋgɔŋ n-chani katiŋa.	it is the morning drum that travels far.
Dagbankpamba yɛliya, ni “asiba nari narila zaawuni.”	The Dagomba elders say that, "what should be finished in the morning is finished in the evening."
mɔri din puhiri yiri na asibaasi.	grass that shoots out in the morning.
o daa ti daŋ yiɣisibu asibaasi ŋaraŋara.	she got up very early in the morning.
asibaasi ŋaraŋara saha zaŋ hal ti paai yuŋ saŋmarisi peebu saha.	from the crack of dawn till the time the stars align.
bɛ chaŋ ti kpe Naawuni jɛmbu duu maa ni asisibaasi ti wuhiri niriba.	they went and entered God's worship room in the morning to teach people.
Asibirr! chɛli ka wum di yɛlimaŋli.	Silence! wait and hear its truth.
A yiŋa yi ka bara nira, a bi chɛn' asibiti.	if your house does not have a sick person, you don't go to the hospital.
Bari maa yiŋnima tu ni bɛ kpaŋsi o ka o chaŋ ashibiti maa.	the sick person's household need to encourage her to go to the hospital.
N yɛliya ni o ʒi ni asheela o pun mi ni.	I said he didn't know there not knowing he already knows there.
Paɣa ŋun bɔri o daashaara ŋuna n-kuni yokpiŋlana.	A woman who wants to suffer a loss that marries an impotent man.
ashaara kul lurila ninvuɣu biɛri nyamma zuɣu.	trouble always falls on the gains of evil people.
N daa na ʒi m-mali suhupiɛlli bɛn je ma daashaara nyabu zuɣu.	I have never been happy because those who hate me experience suffering.
Ashaara yi doli Dagbambia o ʒirila yalim chani Daboya ni o ti kɔhi.	If trouble follows a Dagomba, he takes salt to Daboya to sell.
Nyamiya, n zaŋla nyɛvili minii tɔŋsim ni kum minii ashaara n-zali yi tooni zuŋɔ dabisili ŋɔ.	Look, I have put life and prosperity and death and suffering before you on this day.
Ashaara doli alahichinima, amaa tɔŋbu n-nyɛ wuntizɔriba laara.	Suffering follows sinners, but success is the reward of the God-fearing-people.
Ashee! O kpiya?	Really! He has died?
Bɛ yɛri ni bɛ nyɛla yɛm nima, ashee bɛ nyɛla jɛra.	They say they are wise people, when really they are fools.
Jɛrigu baa kariti wɔbigu ashee o kum dali m-bala.	The fools dog chases an elephant not knowing it is actually the day of its death.
Jɛrigu yɛliya ni mana chaaya ashee di na wandimi.	The fool has said that the okro has finished fruiting when it is actually still bearing fruit.
bɛ chaŋ, asheela ninvuɣu shɛba baŋ di yɛla n-chaŋ ti kurigi lala bini maa.	they went, not knowing some people found out about it and went and dug up that thing.
bɛ daa na bi jɛndi baŋ o kpiɔŋ maa daashili.	they hadn't yet managed to find out the secret behind his strength.
Naawuni ni ti yɛn kari ashiya din be ninsalinima suhuri ni saria.	when God is going to judge the secrets which are in people's hearts.
dabili bi mi o duuma daashili.	a servant does not know the secret of his lord.
Di ni mali a sɔŋsim pam - A yi mali ashili viɛnyɛliŋga.	It will be of great help to you - if you complete confidentiality.
Ashili bi veeni ka 'N-ku-ba' wum li.	It is not good for "I-killed-them' to hear a secret.
Ashili zuɣu ka kiŋkaŋa pumdi yuŋ.	It is because of secrecy that the fig tree blooms at night.
